Movimiento,Jugador,Acción,Pieza,Pieza Index,Posición,Posición Index,Intento,Tablero
1,CNN_bot,selected,"TALL, WHITE, CIRCLE, WITHOUT_HOLE",12,N/A,-1,1,
2,random_bot,placed,TWRN,12,"(3, 3)",15,1,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000
3,random_bot,selected,"LITTLE, BLACK, CIRCLE, WITHOUT_HOLE",0,N/A,-1,1,
4,CNN_bot,placed,LKRN,0,"(0, 2)",2,1,0010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000
5,CNN_bot,selected,"LITTLE, WHITE, CIRCLE, WITHOUT_HOLE",4,N/A,-1,2,
6,random_bot,placed,LWRN,4,"(2, 3)",11,1,0010000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000
7,random_bot,selected,"TALL, BLACK, CIRCLE, WITHOUT_HOLE",8,N/A,-1,1,
8,CNN_bot,placed,TKRN,8,"(0, 0)",0,3,0010000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000
9,CNN_bot,selected,"TALL, WHITE, SQUARE, WITHOUT_HOLE",14,N/A,-1,3,
10,random_bot,placed,TWQN,14,"(0, 1)",1,1,0010000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000
11,random_bot,selected,"LITTLE, WHITE, SQUARE, WITH_HOLE",7,N/A,-1,1,
12,CNN_bot,placed,LWQH,7,"(1, 0)",4,4,0010000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000
13,CNN_bot,selected,"TALL, BLACK, SQUARE, WITHOUT_HOLE",10,N/A,-1,2,
14,random_bot,placed,TKQN,10,"(3, 0)",12,1,0010000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000100000000000000000000000000000000001000000000000000001000000000000000000000000000000
15,random_bot,selected,"TALL, BLACK, SQUARE, WITH_HOLE",11,N/A,-1,1,
16,CNN_bot,placed,TKQH,11,"(1, 2)",6,5,0010000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000100000000010000000000000000000000001000000000000000001000000000000000000000000000000
17,CNN_bot,selected,"LITTLE, BLACK, SQUARE, WITHOUT_HOLE",2,N/A,-1,5,
18,random_bot,placed,LKQN,2,"(0, 3)",3,1,0010000000000000000000000000000000010000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000100000000010000000000000000000000001000000000000000001000000000000000000000000000000
