Movimiento,Jugador,Acción,Pieza,Pieza Index,Posición,Posición Index,Intento,Tablero
1,CNN_bot,selected,"TALL, BLACK, SQUARE, WITHOUT_HOLE",10,N/A,-1,1,
2,random_bot,placed,TKQN,10,"(0, 1)",1,1,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,random_bot,selected,"TALL, WHITE, SQUARE, WITH_HOLE",15,N/A,-1,1,
4,CNN_bot,placed,TWQH,15,"(0, 2)",2,1,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000
5,CNN_bot,selected,"TALL, WHITE, CIRCLE, WITHOUT_HOLE",12,N/A,-1,1,
6,random_bot,placed,TWRN,12,"(3, 0)",12,1,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000001000000000000000000000000000000000000010000000000000
7,random_bot,selected,"TALL, BLACK, SQUARE, WITH_HOLE",11,N/A,-1,1,
8,CNN_bot,placed,TKQH,11,"(2, 3)",11,2,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000100000000000000001000000000000000000000000000000000000010000000000000
9,CNN_bot,selected,"LITTLE, WHITE, CIRCLE, WITHOUT_HOLE",4,N/A,-1,2,
10,random_bot,placed,LWRN,4,"(2, 0)",8,1,0000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000100000000000000001000000000000000000000000000000000000010000000000000
11,random_bot,selected,"LITTLE, BLACK, CIRCLE, WITHOUT_HOLE",0,N/A,-1,1,
12,CNN_bot,placed,LKRN,0,"(0, 0)",0,2,1000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000100000000000000001000000000000000000000000000000000000010000000000000
13,CNN_bot,selected,"TALL, WHITE, SQUARE, WITHOUT_HOLE",14,N/A,-1,1,
14,random_bot,placed,TWQN,14,"(2, 2)",10,1,1000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000100000000000000001000000000000000000000000000001000000010000000000000
15,random_bot,selected,"LITTLE, WHITE, SQUARE, WITHOUT_HOLE",6,N/A,-1,1,
16,CNN_bot,placed,LWQN,6,"(1, 0)",4,1,1000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000100000000000000000000000000000000000000000000000000000000000010000000000000000000000000100000000000000001000000000000000000000000000001000000010000000000000
